,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
106,acer Professional 14[New Launch],83690.0,i7,ACER,32GB,4.1,1TB,Windows 11,,7.0,
107,acer Aspire 14,57990.0,i5,ACER,16GB,,512GB,Windows 11,Silver,22.0,14.0
108,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,34.0,
109,"Lenovo IdeaPad Slim 3 Ryzen 7 5825U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Integrated AMD Radeon Graphics/Windows 11/Office Home 2024/Grey/1.6Kg)",52490.0,Ryzen 7,LENOVO,16GB,3.9,512GB,Windows 11,Grey,28.0,15.6
110,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
111,HP 15,60490.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,12.0,15.6
112,ASUS Vivobook 15,40990.0,i3,ASUS,16GB,4.2,512GB,Windows 11,Blue,25.0,15.6
113,Lenovo IdeaPad Slim 3,70990.0,i5,LENOVO,24GB,4.3,1TB,Windows 11,Grey,19.0,15.3
114,Lenovo Smartchoice Ideapad Slim 3,75990.0,i7,LENOVO,16GB,4.1,512GB,Windows 11,Grey,15.0,15.3
115,Lenovo IdeaPad Slim 3,38490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,28.0,15.6
116,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,32999.0,,LENOVO,8GB,3.9,512GB,Windows 11,Silver,58.0,15.6
117,acer Professional14[New Launch],47990.0,Ryzen5,ACER,16GB,4.0,512GB,Windows 11,,22.0,14.0
118,ASUS Vivobook Go 15,38990.0,Ryzen 3,ASUS,8GB,4.2,512GB,Windows 11,Black,11.0,15.6
119,ASUS Vivobook 15,41990.0,i3,ASUS,12GB,4.2,512GB,Windows 11,Silver,19.0,15.6
120,HP OmniBook 3 AMD Ryzen AI 5 330 Next Gen AI Laptop,67990.0,,HP,24GB,4.3,1TB,Windows 11,Silver,19.0,15.6
121,"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB/512GB SSD/Windows 11/Microsoft 365 Basic + Office Home 2024/Backlit Keyboard/Grey/1.6Kg)",46699.0,Ryzen 5,LENOVO,,4.0,512GB,Windows 11,Grey,21.0,15.6
122,ASUS Vivobook 15,67990.0,i7,ASUS,16GB,4.0,1TB,Windows 11,Blue,23.0,15.6
123,HP 15s,40990.0,i3,HP,8GB,3.9,512GB,Windows 11,Silver,18.0,15.6
124,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,,,LENOVO,8GB,4.0,512GB,Windows 11,Silver,,15.6
125,"Microsoft New Surface Pro 12"" - Windows 11 Home Copilot+ PC - LCD PixelSense Touchscreen - Qualcomm Snapdragon X Plus (8 Core) - 16GB RAM - 256GB SSD - Platinum - EP2-27654",85016.0,,MICROSOFT,16GB,3.3,256GB,Windows 11,Platinum,10.0,12.0
126,acer Aspire Lite,48990.0,i5,ACER,,4.0,16GB,Windows 11,Silver,27.0,15.6
127,HP Pavilion Plus,61990.0,i5,HP,16GB,3.6,512GB,Windows 11,Silver,26.0,14.0
128,Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop,,Ryzen 5,LENOVO,16GB,4.0,512GB,Windows 11,Grey,,
129,"Dyazo Slim 15"" to 15.6 Inch Laptop Sleeve",279.0,,DYAZO,,4.3,,,Grey,72.0,15.0
130,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,34.0,
131,"Lenovo IdeaPad Slim 3 Ryzen 7 5825U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Integrated AMD Radeon Graphics/Windows 11/Office Home 2024/Grey/1.6Kg)",52490.0,Ryzen 7,LENOVO,16GB,3.9,512GB,Windows 11,Grey,28.0,15.6
